iter	Passed	Remaining
404	7912	11624
405	7933	11607
406	7951	11585
407	7968	11562
408	7988	11543
409	8006	11521
410	8025	11501
411	8044	11480
412	8063	11460
413	8082	11439
414	8099	11417
415	8118	11396
416	8136	11375
417	8155	11355
418	8172	11331
419	8190	11311
420	8208	11289
421	8226	11267
422	8244	11245
423	8262	11224
424	8279	11201
425	8295	11177
426	8314	11157
427	8332	11136
428	8351	11116
429	8373	11099
430	8391	11078
431	8409	11057
432	8430	11038
433	8448	11018
434	8467	10998
435	8485	10977
436	8502	10953
437	8520	10933
438	8537	10909
439	8555	10889
440	8575	10869
441	8593	10848
442	8612	10828
443	8630	10807
444	8650	10788
445	8665	10763
446	8682	10740
447	8701	10721
448	8718	10699
449	8738	10680
450	8755	10657
451	8772	10635
452	8789	10613
453	8808	10593
454	8826	10572
455	8844	10551
456	8861	10529
457	8879	10508
458	8897	10487
459	8918	10469
460	8936	10448
461	8954	10427
462	8971	10405
463	8990	10385
464	9008	10364
465	9026	10343
466	9044	10322
467	9060	10299
468	9078	10278
469	9095	10256
470	9114	10236
471	9132	10215
472	9151	10196
473	9168	10173
474	9186	10153
475	9205	10133
476	9223	10112
477	9240	10091
478	9259	10070
479	9277	10050
480	9295	10029
481	9313	10008
482	9330	9987
483	9348	9966
484	9367	9947
485	9385	9925
486	9402	9904
487	9420	9883
488	9438	9863
489	9459	9845
490	9478	9825
491	9494	9803
492	9514	9784
493	9533	9764
494	9555	9748
495	9573	9728
496	9593	9709
497	9610	9687
498	9628	9667
499	9646	9646
500	9665	9626
501	9681	9604
502	9699	9583
503	9719	9565
504	9737	9544
505	9756	9525
506	9775	9505
507	9794	9485
508	9812	9465
509	9828	9443
510	9849	9425
511	9868	9405
512	9888	9387
513	9907	9368
514	9929	9351
515	9950	9333
516	9970	9314
517	9990	9296
518	10010	9277
519	10029	9257
520	10048	9238
521	10066	9217
522	10082	9195
523	10103	9177
524	10121	9157
525	10142	9139
526	10161	9120
527	10181	9101
528	10199	9081
529	10218	9061
530	10236	9041
531	10257	9023
532	10275	9003
533	10292	8982
534	10311	8962
535	10330	8942
536	10348	8922
537	10367	8903
538	10386	8883
539	10405	8863
540	10424	8844
541	10444	8825
542	10464	8807
543	10482	8786
544	10500	8766
545	10519	8746
546	10538	8727
547	10556	8707
548	10575	8688
549	10594	8668
550	10613	8648
551	10629	8627
552	10649	8607
553	10667	8587
554	10688	8569
555	10706	8549
556	10724	8529
557	10742	8509
558	10760	8488
559	10779	8469
560	10797	8449
561	10816	8429
562	10834	8409
563	10854	8391
564	10870	8369
565	10886	8347
566	10904	8327
567	10922	8307
568	10941	8287
569	10962	8269
570	10978	8248
571	10996	8228
572	11015	8208
573	11036	8191
574	11053	8170
575	11073	8151
576	11093	8132
577	11113	8113
578	11131	8093
579	11150	8074
580	11167	8053
581	11187	8034
582	11205	8015
583	11225	7996
584	11246	7978
585	11267	7960
586	11288	7942
587	11309	7924
588	11328	7904
589	11345	7884
590	11364	7865
591	11383	7845
592	11401	7825
593	11420	7806
594	11440	7787
595	11459	7768
596	11477	7747
597	11494	7726
598	11512	7707
599	11529	7686
600	11547	7666
601	11565	7646
602	11583	7626
603	11601	7606
604	11620	7586
605	11639	7567
606	11659	7548
607	11674	7527
608	11693	7507
609	11710	7486
610	11726	7466
611	11744	7445
612	11763	7426
613	11782	7407
614	11801	7388
615	11817	7366
616	11834	7346
617	11853	7326
618	11870	7306
619	11888	7286
620	11904	7265
621	11921	7245
622	11939	7225
623	11957	7205
624	11976	7185
625	11995	7166
626	12013	7146
627	12030	7126
628	12050	7107
629	12068	7087
630	12086	7068
631	12104	7048
632	12123	7028
633	12140	7008
634	12157	6987
635	12174	6967
636	12194	6949
637	12212	6929
638	12229	6909
639	12247	6888
640	12264	6869
641	12279	6847
642	12297	6827
643	12315	6807
644	12332	6787
645	12348	6767
646	12367	6747
647	12384	6727
648	12403	6708
649	12420	6687
650	12437	6667
651	12453	6646
652	12471	6627
653	12490	6608
654	12507	6588
655	12526	6568
656	12547	6550
657	12565	6531
658	12582	6510
