iter	RMSE
0	27.66594817
1	27.20265047
2	26.77747333
3	26.39435895
4	26.03318116
5	25.7094529
6	25.40950515
7	25.14209484
8	24.89373637
9	24.66567307
10	24.45372094
11	24.23833767
12	24.04345161
13	23.85691629
14	23.68825983
15	23.53156173
16	23.35828268
17	23.21071562
18	23.05447988
19	22.91338853
20	22.77690637
21	22.64623705
22	22.52466642
23	22.40602195
24	22.29291497
25	22.17604329
26	22.06765271
27	21.9582532
28	21.86159849
29	21.7545282
30	21.66439658
31	21.56546738
32	21.4747745
33	21.38592988
34	21.30846843
35	21.23123229
36	21.14300058
37	21.06236105
38	20.98417752
39	20.90980218
40	20.83673084
41	20.76927811
42	20.70519173
43	20.64257679
44	20.5743224
45	20.51371892
46	20.44835396
47	20.39193234
48	20.32651568
49	20.27046454
50	20.19964966
51	20.15169805
52	20.10758901
53	20.04457053
54	19.99373468
55	19.95182011
56	19.89769912
57	19.84490386
58	19.80729214
59	19.75061399
60	19.68418185
61	19.64699405
62	19.60797884
63	19.56082042
64	19.52253788
65	19.47848624
66	19.44805449
67	19.39985184
68	19.3563729
69	19.31821203
70	19.28914075
71	19.24974837
72	19.20649542
73	19.17416017
74	19.13394673
75	19.09222712
76	19.03940981
77	19.00832476
78	18.96959217
79	18.93684502
80	18.90790762
81	18.88118525
82	18.83909121
83	18.80048845
84	18.7563958
85	18.73382055
86	18.7108437
87	18.67865483
88	18.64745185
89	18.60711083
90	18.57768357
91	18.54506792
92	18.51574969
93	18.47654374
94	18.4408576
95	18.41431275
96	18.37501731
97	18.33805087
98	18.31377005
99	18.29224439
100	18.26134565
101	18.24021584
102	18.20859771
103	18.19042033
104	18.16371194
105	18.13278699
106	18.10439882
107	18.0765232
108	18.04389629
109	18.00866066
110	17.96862696
111	17.94976294
112	17.93119859
113	17.90734951
114	17.8805275
115	17.85606449
116	17.82031238
117	17.79780742
118	17.77200945
119	17.75706582
120	17.72642699
121	17.69468059
122	17.66793661
123	17.65224311
124	17.62946374
125	17.59785447
126	17.57800906
127	17.55870937
128	17.53135854
129	17.51142706
130	17.49421108
131	17.46499535
132	17.44369028
133	17.43002774
134	17.40988175
135	17.37613061
136	17.35039268
137	17.31355108
138	17.29718642
139	17.27526102
140	17.25809407
141	17.23714763
142	17.21351436
143	17.19120488
144	17.16839578
145	17.15335554
146	17.12479614
147	17.0997725
148	17.08365195
149	17.06244097
150	17.04725451
151	17.02910917
152	17.01274548
153	16.98988761
154	16.96826417
155	16.9549686
156	16.93871554
157	16.9069491
158	16.87963596
159	16.86487132
160	16.84908139
161	16.82021204
162	16.7998818
163	16.77574144
164	16.75995848
165	16.74043941
166	16.72009957
167	16.70741809
168	16.68473368
169	16.67243281
170	16.66117914
171	16.64395816
172	16.62439902
173	16.60604234
174	16.5881469
175	16.56382712
176	16.55123256
177	16.53827893
178	16.52136513
179	16.50524336
180	16.49552957
181	16.48629545
182	16.4762862
183	16.46491987
184	16.44148459
185	16.42793068
186	16.41668359
187	16.3939023
188	16.37913938
189	16.36126622
190	16.34226286
191	16.32469863
192	16.30595326
193	16.29249104
194	16.27720326
195	16.26208782
196	16.25057407
197	16.23495062
198	16.22044191
199	16.20946199
200	16.19130172
201	16.17606833
202	16.16071883
203	16.13696983
204	16.11913714
205	16.09951412
206	16.0847315
207	16.06645692
208	16.05817925
209	16.04452404
210	16.01835942
211	16.00860289
212	15.99534896
213	15.98140333
214	15.967637
215	15.95531016
216	15.93904031
217	15.92926078
218	15.92089099
219	15.90590585
220	15.89559626
221	15.88252335
222	15.8672227
223	15.8503269
224	15.83844363
225	15.82420437
226	15.81159179
227	15.80094514
228	15.78724808
229	15.77581786
230	15.76938662
231	15.75575548
232	15.74759647
233	15.73747207
234	15.72337493
235	15.71002579
236	15.69018468
237	15.6749375
238	15.66322617
239	15.64845237
240	15.63861387
241	15.6232123
242	15.60963473
243	15.60003443
244	15.5867783
245	15.57639633
246	15.56984525
247	15.5576932
248	15.54949194
249	15.53853197
250	15.52810237
251	15.52212475
252	15.51030323
253	15.49890255
254	15.48835725
255	15.47997132
256	15.46742103
257	15.46026264
258	15.44651858
259	15.43622704
260	15.42934372
261	15.41706771
262	15.40998838
263	15.39878689
264	15.38796037
265	15.37725234
266	15.3701746
267	15.36077132
268	15.35285879
269	15.34276502
270	15.33141954
271	15.321965
272	15.30686502
273	15.29509545
274	15.2864299
275	15.27607562
276	15.26310727
277	15.25130878
278	15.24001529
279	15.23235174
280	15.22640333
281	15.21759044
282	15.21265356
283	15.19632284
284	15.18720482
285	15.17719908
286	15.16662749
287	15.15943467
288	15.14438338
289	15.13433774
290	15.12252239
291	15.11730637
292	15.10785255
293	15.09351483
294	15.08436872
295	15.07642168
296	15.06464807
297	15.05319102
298	15.04359765
299	15.0315262
300	15.02033394
301	15.01466344
